"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_694","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Chitinophagales"," Chitinophagaceae","Unclassified_Chitinophagaceae","Unclassified_Chitinophagaceae"
"OTU_695","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Verrucomicrobiae"," Pedosphaerales"," Pedosphaeraceae","Unclassified_Pedosphaeraceae","Unclassified_Pedosphaeraceae"
"OTU_696","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Puniceispirillales"," SAR116 clade","Unclassified_SAR116 clade","Unclassified_SAR116 clade"
"OTU_697","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Propionibacteriales"," Nocardioidaceae"," Nocardioides","Unclassified_Nocardioides"
"OTU_698","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium","Unclassified_Sphingobacterium"
"OTU_699","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales"," Vibrionaceae"," Vibrio","Unclassified_Vibrio"
"OTU_700","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales"," Pasteurellaceae"," Haemophilus","Unclassified_Haemophilus"
"OTU_701","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota"," Desulfobulbia"," Desulfobulbales"," Desulfurivibrionaceae","Unclassified_Desulfurivibrionaceae","Unclassified_Desulfurivibrionaceae"
"OTU_702","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," NS5 marine group","Unclassified_NS5 marine group"
"OTU_703","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_704","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," S085","Unclassified_S085","Unclassified_S085","Unclassified_S085"
"OTU_705","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Alicyclobacillales"," Alicyclobacillaceae"," Tumebacillus","Unclassified_Tumebacillus"
"OTU_706","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurimonadaceae"," Sulfurimonas","Unclassified_Sulfurimonas"
"OTU_707","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Planctomycetales"," Rubinisphaeraceae","Unclassified_Rubinisphaeraceae","Unclassified_Rubinisphaeraceae"
"OTU_708","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)","Unclassified_Marinimicrobia (SAR406 clade)"
"OTU_709","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota","Unclassified_Geothermarchaeota"
"OTU_710","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," Leptospirillia"," Leptospirillales"," Leptospirillaceae"," Leptospirillum","Unclassified_Leptospirillum"
"OTU_711","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales"
"OTU_712","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_713","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota","Unclassified_Acidobacteriota","Unclassified_Acidobacteriota","Unclassified_Acidobacteriota","Unclassified_Acidobacteriota","Unclassified_Acidobacteriota"
"OTU_714","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Pelagibacterales","Unclassified_Pelagibacterales","Unclassified_Pelagibacterales","Unclassified_Pelagibacterales"
"OTU_715","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Legionellales"," Legionellaceae","Unclassified_Legionellaceae","Unclassified_Legionellaceae"
"OTU_716","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25"
"OTU_717","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," KD4-96","Unclassified_KD4-96","Unclassified_KD4-96","Unclassified_KD4-96","Unclassified_KD4-96"
