# Name,SeqName,Depth,Core
Blank_S2,Blank_S2,B,B
CB06_blnk_70,CB06_blnk_70,B,B
CB08_blnk_66,CB08_blnk_66,B,B
CB08_blnk_67,CB08_blnk_67,B,B
CB08_blnk_68,CB08_blnk_68,B,B
CB10_blnk_86,CB10_blnk_86,B,B
CB11_blnk_20,CB11_blnk_20,B,B
CB11_blnk_46,CB11_blnk_46,B,B
CB14_blnk_94,CB14_blnk_94,B,B
CB14_blnk_95,CB14_blnk_95,B,B
CB14_blnk_96,CB14_blnk_96,B,B
CB15_blnk_21,CB15_blnk_21,B,B
CB15_blnk_22,CB15_blnk_22,B,B
CB15_blnk_81,CB15_blnk_81,B,B
CB15_blnk_82,CB15_blnk_82,B,B
CB15_blnk_94,CB15_blnk_94,B,B
GS16_GC05_155,GS16_GC05_14,155,10
GS16_GC05_160,GS16_GC05_15,160,10
GS16_GC05_190,GS16_GC05_16,190,10
GS16_GC05_220,GS16_GC05_17,220,10
GS16_GC05_250,GS16_GC05_18,250,10
GS16_GC05_280,GS16_GC05_19,280,10
GS16_GC05_305,GS16_GC05_20,305,10
GS16_GC05_310,GS16_GC05_21,310,10
GS16_GC05_340,GS16_GC05_22,340,10
GS16_GC05_350,GS16_GC05_23,350,10
GS16_GC06_5,GS16_GC06_24,5,11
GS16_GC06_10,GS16_GC06_25,10,11
GS16_GC06_20,GS16_GC06_26,20,11
GS16_GC06_25,GS16_GC06_27,25,11
GS16_GC06_30,GS16_GC06_28,30,11
GS16_GC06_40,GS16_GC06_29,40,11
GS16_GC06_50,GS16_GC06_30,50,11
GS16_GC06_55,GS16_GC06_31,55,11
GS16_GC06_75,GS16_GC06_32,75,11
GS16_GC06_100,GS16_GC06_34,100,11
GS16_GC06_105,GS16_GC06_33,105,11
GS16_GC06_130,GS16_GC06_47,130,11
GS16_GC06_155,GS16_GC06_48,155,11
GS16_GC06_160,GS16_GC06_49,160,11
GS16_GC06_172,GS16_GC06_50,172,11
GS16_GC06_190,GS16_GC06_51,190,11
GS16_GC06_200,GS16_GC06_38,200,11
GS16_GC06_220,GS16_GC06_39,220,11
GS16_GC06_250,GS16_GC06_52,250,11
GS16_GC06_280,GS16_GC06_53,280,11
GS16_GC06_310,GS16_GC06_54,310,11
GS16_GC06_330,GS16_GC06_55,330,11
GS16_GC06_340,GS16_GC06_56,340,11
GS16_GC06_350,GS16_GC06_57,350,11
GS16_GC07_5,GS16_GC07_57,5,12
GS16_GC07_10,GS16_GC07_58,10,12
GS16_GC07_20,GS16_GC07_59,20,12
GS16_GC07_30,GS16_GC07_60,30,12
GS16_GC07_40,GS16_GC07_61,40,12
GS16_GC07_45,GS16_GC07_62,45,12
GS16_GC07_75,GS16_GC07_63,75,12
GS16_GC07_80,GS16_GC07_64,80,12
GS16_GC07_85,GS16_GC07_67,85,12
GS17_GC02_5,GS17_GC02_23,5,13
GS17_GC02_10,GS17_GC02_24,10,13
GS17_GC02_15,GS17_GC02_25,15,13
GS17_GC02_25,GS17_GC02_26,25,13
GS17_GC02_35,GS17_GC02_27,35,13
GS17_GC02_45,GS17_GC02_28,45,13
GS17_GC02_55,GS17_GC02_29,55,13
GS17_GC02_65,GS17_GC02_30,65,13
GS17_GC02_66,GS17_GC02_31,66,13
GS17_GC02_67,GS17_GC02_32,67,13
GS17_GC02_68,GS17_GC02_33,68,13
GS17_GC02_69,GS17_GC02_34,69,13
GS17_GC02_70,GS17_GC02_35,70,13
GS17_GC02_71,GS17_GC02_36,71,13
GS17_GC02_72,GS17_GC02_37,72,13
GS17_GC02_73,GS17_GC02_38,73,13
GS17_GC02_73.2,GS17_GC02_39,73.2,13
GS17_GC02_73.3,GS17_GC02_40,73.3,13
GS17_GC02_74,GS17_GC02_41,74,13
GS17_GC02_75,GS17_GC02_42,75,13
GS17_GC02_77,GS17_GC02_43,77,13
GS17_GC02_78,GS17_GC02_44,78,13
GS17_GC02_79,GS17_GC02_45,79,13
GS17_GC02_80,GS17_GC02_46,80,13
GS17_GC02_81,GS17_GC02_47,81,13
GS17_GC02_82,GS17_GC02_48,82,13
GS17_GC02_83,GS17_GC02_49,83,13
GS17_GC02_84,GS17_GC02_50,84,13
GS17_GC02_85,GS17_GC02_51,85,13
GS17_GC02_86,GS17_GC02_52,86,13
GS17_GC02_87,GS17_GC02_53,87,13
GS17_GC02_88,GS17_GC02_54,88,13
GS17_GC02_89,GS17_GC02_55,89,13
GS17_GC02_90,GS17_GC02_56,90,13
GS17_GC02_91,GS17_GC02_57,91,13
GS17_GC02_92,GS17_GC02_58,92,13
GS17_GC02_93,GS17_GC02_59,93,13
GS17_GC02_93.2,GS17_GC02_60,93.2,13
GS17_GC02_93.3,GS17_GC02_61,R,R
GS17_GC02_94,GS17_GC02_62,94,13
GS17_GC02_95,GS17_GC02_63,95,13
GS17_GC02_96,GS17_GC02_64,96,13
GS17_GC02_97,GS17_GC02_65,97,13
GS17_GC02_98,GS17_GC02_66,98,13
GS17_GC02_99,GS17_GC02_67,99,13
GS17_GC02_100,GS17_GC02_68,100,13
GS17_GC02_101,GS17_GC02_69,101,13
GS17_GC02_102,GS17_GC02_70,102,13
GS17_GC02_103,GS17_GC02_71,103,13
GS17_GC02_104,GS17_GC02_72,104,13
GS17_GC02_105,GS17_GC02_73,105,13
GS17_GC02_106,GS17_GC02_74,106,13
GS17_GC02_107,GS17_GC02_75,107,13
GS17_GC02_108,GS17_GC02_76,108,13
GS17_GC02_109,GS17_GC02_77,109,13
GS17_GC02_110,GS17_GC02_78,110,13
GS17_GC02_111,GS17_GC02_79,111,13
GS17_GC02_112,GS17_GC02_80,112,13
GS17_GC02_113,GS17_GC02_83,113,13
GS17_GC02_114,GS17_GC02_84,114,13
GS17_GC02_114.5,GS17_GC02_85,114.5,13
GS17_GC02_115,GS17_GC02_86,115,13
GS17_GC02_125,GS17_GC02_87,125,13
GS17_GC02_135,GS17_GC02_88,135,13
GS17_GC02_150,GS17_GC02_89,150,13
GS17_GC02_170,GS17_GC02_90,170,13
GS17_GC02_190,GS17_GC02_91,190,13
GS17_GC02_210,GS17_GC02_92,210,13
GS17_GC02_240,GS17_GC02_93,240,13
GS17_GC04_3,GS17_GC04_01,3,14
GS17_GC04_10,GS17_GC04_02,10,14
GS17_GC04_20,GS17_GC04_03,20,14
GS17_GC04_30,GS17_GC04_04,30,14
GS17_GC04_40,GS17_GC04_05,40,14
GS17_GC04_50,GS17_GC04_06,50,14
GS17_GC04_60,GS17_GC04_07,60,14
GS17_GC04_75,GS17_GC04_08,75,14
GS17_GC04_90,GS17_GC04_09,90,14
GS17_GC04_91,GS17_GC04_10,91,14
GS17_GC04_92,GS17_GC04_11,92,14
GS17_GC04_93,GS17_GC04_12,93,14
GS17_GC04_94,GS17_GC04_13,94,14
GS17_GC04_95,GS17_GC04_14,95,14
GS17_GC04_96,GS17_GC04_15,96,14
GS17_GC04_97,GS17_GC04_16,97,14
GS17_GC04_98,GS17_GC04_17,98,14
GS17_GC04_99,GS17_GC04_18,99,14
GS17_GC04_100,GS17_GC04_19,100,14
GS17_GC04_101,GS17_GC04_20,101,14
GS17_GC04_110,GS17_GC04_21,110,14
GS17_GC04_103,GS17_GC04_22,103,14
GS17_GC04_104,GS17_GC04_23,104,14
GS17_GC04_105,GS17_GC04_24,105,14
GS17_GC04_106,GS17_GC04_25,106,14
GS17_GC04_107,GS17_GC04_26,107,14
GS17_GC04_108,GS17_GC04_27,108,14
GS17_GC04_109,GS17_GC04_28,109,14
GS17_GC04_102,GS17_GC04_29,102,14
GS17_GC04_111,GS17_GC04_30,111,14
GS17_GC04_112,GS17_GC04_31,112,14
GS17_GC04_113,GS17_GC04_32,113,14
GS17_GC04_114,GS17_GC04_33,114,14
GS17_GC04_115,GS17_GC04_34,115,14
GS17_GC04_116,GS17_GC04_35,116,14
GS17_GC04_117,GS17_GC04_36,117,14
GS17_GC04_118,GS17_GC04_37,118,14
GS17_GC04_119,GS17_GC04_38,119,14
GS17_GC04_120,GS17_GC04_39,120,14
GS17_GC04_121,GS17_GC04_40,121,14
GS17_GC04_122,GS17_GC04_41,122,14
GS17_GC04_123,GS17_GC04_42,123,14
GS17_GC04_124,GS17_GC04_43,124,14
GS17_GC04_125,GS17_GC04_44,125,14
GS17_GC04_126,GS17_GC04_45,126,14
GS17_GC04_127,GS17_GC04_46,127,14
GS17_GC04_128,GS17_GC04_47,128,14
GS17_GC04_129,GS17_GC04_48,129,14
GS17_GC04_130,GS17_GC04_49,130,14
GS17_GC04_131,GS17_GC04_50,131,14
GS17_GC04_132,GS17_GC04_51,132,14
GS17_GC04_133,GS17_GC04_52,133,14
GS17_GC04_134,GS17_GC04_53,134,14
GS17_GC04_135,GS17_GC04_54,135,14
GS17_GC04_136,GS17_GC04_55,136,14
GS17_GC04_137,GS17_GC04_56,137,14
GS17_GC04_138,GS17_GC04_57,138,14
GS17_GC04_139,GS17_GC04_58,139,14
GS17_GC04_140,GS17_GC04_59,140,14
GS17_GC04_141,GS17_GC04_60,141,14
GS17_GC04_142,GS17_GC04_61,142,14
GS17_GC04_143,GS17_GC04_62,143,14
GS17_GC04_144,GS17_GC04_63,144,14
GS17_GC04_145,GS17_GC04_64,145,14
GS17_GC04_146,GS17_GC04_65,146,14
GS17_GC04_147,GS17_GC04_66,147,14
GS17_GC04_148,GS17_GC04_67,148,14
GS17_GC04_149,GS17_GC04_68,149,14
GS17_GC04_150,GS17_GC04_69,150,14
GS17_GC04_165,GS17_GC04_70,165,14
GS17_GC04_210,GS17_GC04_71,210,14
GS17_GC04_240,GS17_GC04_72,240,14
GS17_GC04_241,GS17_GC04_73,241,14
GS17_GC04_242,GS17_GC04_74,242,14
GS17_GC04_243,GS17_GC04_75,243,14
GS17_GC04_244,GS17_GC04_76,244,14
GS17_GC04_245,GS17_GC04_77,245,14
GS17_GC04_246,GS17_GC04_78,246,14
GS17_GC04_247,GS17_GC04_79,247,14
GS17_GC04_248,GS17_GC04_80,248,14
GS17_GC04_249,GS17_GC04_81,249,14
GS17_GC04_250,GS17_GC04_82,250,14
GS17_GC04_250.5,GS17_GC04_83,250.5,14
GS17_GC04_252,GS17_GC04_84,252,14
GS17_GC04_253,GS17_GC04_85,253,14
GS17_GC04_254,GS17_GC04_86,254,14
GS17_GC04_255,GS17_GC04_87,255,14
GS17_GC04_256,GS17_GC04_88,256,14
GS17_GC04_257,GS17_GC04_89,257,14
GS17_GC04_258,GS17_GC04_90,258,14
GS17_GC04_259,GS17_GC04_91,259,14
GS17_GC04_260,GS17_GC04_92,260,14
GS17_GC04_290,GS17_GC04_93,290,14
GS17_GC05_05,GS17_GC05_01,5,15
GS17_GC05_10,GS17_GC05_02,10,15
GS17_GC05_20,GS17_GC05_03,20,15
GS17_GC05_30,GS17_GC05_04,30,15
GS17_GC05_40,GS17_GC05_05,40,15
GS17_GC05_50,GS17_GC05_06,50,15
GS17_GC05_75,GS17_GC05_07,75,15
GS17_GC05_100,GS17_GC05_08,100,15
GS17_GC05_125,GS17_GC05_09,125,15
GS17_GC05_150,GS17_GC05_10,150,15
GS17_GC05_175,GS17_GC05_11,175,15
GS17_GC05_200,GS17_GC05_12,200,15
GS17_GC05_225,GS17_GC05_13,225,15
GS17_GC05_250,GS17_GC05_14,250,15
GS17_GC05_275,GS17_GC05_15,275,15
GS17_GC05_300,GS17_GC05_16,300,15
GS17_GC05_325,GS17_GC05_17,325,15
GS17_GC05_350,GS17_GC05_18,350,15
GS17_GC05_375,GS17_GC05_19,375,15
GS17_GC05_400,GS17_GC05_20,400,15
GS19_GC10_001_E1_S1,GS19_GC10_001_E1_S1,R,17
GS19_GC10_001_E1_S2,GS19_GC10_001_E1_S2,1,17
GS19_GC10_002_E1_S1,GS19_GC10_002_E1_S1,R,17
GS19_GC10_002_E1_S2,GS19_GC10_002_E1_S2,2,17
GS19_GC10_003_E1_S1,GS19_GC10_003_E1_S1,R,17
GS19_GC10_003_E1_S2,GS19_GC10_003_E1_S2,3,17
GS19_GC10_004_E1_S1,GS19_GC10_004_E1_S1,R,17
GS19_GC10_004_E1_S2,GS19_GC10_004_E1_S2,4,17
GS19_GC10_005_E1_S1,GS19_GC10_005_E1_S1,R,17
GS19_GC10_005_E1_S2,GS19_GC10_005_E1_S2,5,17
GS19_GC10_005_E2_S1,GS19_GC10_005_E2_S1,5,17
GS19_GC10_006_E1_S1,GS19_GC10_006_E1_S1,6,17
