# OTU,ROOT,MAIN.GENOME,DOMAIN,KINGDOM,SUPER.PHYLUM,PHYLUM,CLASS,ORDER,FAMILY
OTU_15711,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Cloacimonadota, Cloacimonadia,Unclassified_Cloacimonadia,Unclassified_Cloacimonadia
OTU_15724,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Chthoniobacterales, Xiphinematobacteraceae
OTU_15725,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfobaccia, Desulfobaccales, Desulfobaccaceae
OTU_15856,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Chromobacteriaceae
OTU_15863,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Deferrisomatota, Defferrisomatia, Defferrisomatales, Defferrisomataceae
OTU_15887,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, AD3,Unclassified_AD3,Unclassified_AD3
OTU_15898,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodobacterales,Unclassified_Rhodobacterales
OTU_15903,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Iainarchaeota,Unclassified_Iainarchaeota,Unclassified_Iainarchaeota,Unclassified_Iainarchaeota
OTU_15908,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Micrarchaeota, Micrarchaeia, Micrarchaeales,Unclassified_Micrarchaeales
OTU_15977,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Streptosporangiales, Streptosporangiaceae
OTU_16000,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Tenderiales, Tenderiaceae
OTU_1602,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Staphylococcales, Staphylococcaceae
OTU_16083,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Planctomycetes, Isosphaerales, Isosphaeraceae
OTU_16096,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Alkaliphilus family incertae sedis
OTU_16097,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Rhodocyclaceae
OTU_1612,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota,Unclassified_Myxococcota,Unclassified_Myxococcota,Unclassified_Myxococcota
OTU_16159,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Paceibacterales class incertae sedis, Paceibacterales,Unclassified_Paceibacterales
OTU_16278,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Defluviicoccales, Defluviicoccaceae
OTU_16290,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Clostridia UCG-014,Unclassified_Clostridia UCG-014
OTU_16337,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Cyanobacteriia, Cyanobacteriales, Phormidiaceae
OTU_16464,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Halomonadaceae
OTU_16467,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Paracaedibacterales,Unclassified_Paracaedibacterales
OTU_16477,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Beggiatoales, Beggiatoaceae
OTU_16487,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Cyanobacteriia, Cyanobacteriales, Chroococcidiopsaceae
OTU_1659,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Frankiales, Frankiaceae
OTU_16606,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Bacteroidales, F082
OTU_16645,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Elsterales,Unclassified_Elsterales
OTU_16648,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Dietziaceae
OTU_16663,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Kiritimatiellae, Kiritimatiellales, Kiritimatiellaceae
OTU_16695,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae
OTU_1673,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Gallionellaceae
OTU_16769,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Deferrisomatota, Defferrisomatia, Defferrisomatales,Unclassified_Defferrisomatales
OTU_1688,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfovibrionia, Desulfovibrionales, Desulfonauticaceae
OTU_16941,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Nitrococcales, Halorhodospiraceae
OTU_16946,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfobulbia, Desulfobulbales, Desulfocapsaceae
OTU_17007,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Fusibacteraceae
OTU_17015,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Candidatus Chisholmbacteria,Unclassified_Candidatus Chisholmbacteria,Unclassified_Candidatus Chisholmbacteria,Unclassified_Candidatus Chisholmbacteria
OTU_17021,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Sericytochromatia,Unclassified_Sericytochromatia,Unclassified_Sericytochromatia
OTU_17078,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptococcales, Peptococcaceae
OTU_17096,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Bacteroidales, Marinilabiliaceae
OTU_17097,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Syntrophia, Syntrophales, Syntrophaceae
OTU_17101,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Campylobacterota, Campylobacteria, Nautiliales, Nautiliaceae
OTU_1721,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospirota, Leptospirillia, Leptospirillales, Leptospirillaceae
OTU_17216,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Nitrosococcales,Unclassified_Nitrosococcales
OTU_17237,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Methylacidiphilales,Unclassified_Methylacidiphilales
OTU_1735,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Cytophagales, Cytophagaceae
OTU_17365,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Oscillospirales, Ethanoligenenaceae
OTU_17432,root, Main genome, Archaea, Archaea (superkingdom), TACK, Thaumarchaeota, SCGC AB-179-E04,Unclassified_SCGC AB-179-E04,Unclassified_SCGC AB-179-E04
OTU_17442,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Candidatus Kaiserbacteria,Unclassified_Candidatus Kaiserbacteria,Unclassified_Candidatus Kaiserbacteria
OTU_17532,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Ignavibacteria,Unclassified_Ignavibacteria,Unclassified_Ignavibacteria
OTU_17573,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Erysipelotrichales,Unclassified_Erysipelotrichales
OTU_17627,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Ktedonobacteria, Ktedonobacterales,Unclassified_Ktedonobacterales
OTU_17720,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, P13-46
OTU_17730,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Holosporales,Unclassified_Holosporales
OTU_17746,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, SAR86 clade
OTU_17749,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Thermodesulfobiota, Thermodesulfobiia,Unclassified_Thermodesulfobiia,Unclassified_Thermodesulfobiia
OTU_17800,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Campylobacterota,Unclassified_Campylobacterota,Unclassified_Campylobacterota,Unclassified_Campylobacterota
OTU_1781,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteria group 25,Unclassified_Acidobacteria group 25,Unclassified_Acidobacteria group 25
OTU_17816,root, Main genome, Bacteria, Bacteria (superkingdom), Hydrogenedentes superphylum, Hydrogenedentes,Unclassified_Hydrogenedentes,Unclassified_Hydrogenedentes,Unclassified_Hydrogenedentes
OTU_17818,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, Chitinophagales, 37-13
OTU_17837,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Aquaspirillaceae
OTU_17842,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Holophagae, Acanthopleuribacterales,Unclassified_Acanthopleuribacterales
OTU_17871,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Calditrichota, Calditrichia,Unclassified_Calditrichia,Unclassified_Calditrichia
OTU_17896,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Methylomirabilota, Methylomirabilia,Unclassified_Methylomirabilia,Unclassified_Methylomirabilia
OTU_17915,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, OLB14,Unclassified_OLB14,Unclassified_OLB14
OTU_18004,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Lentisphaeria, Victivallales, BD2-3
OTU_18018,root, Main genome, Bacteria, Bacteria (superkingdom), Spirochaetes superphylum, Spirochaetota,Unclassified_Spirochaetota,Unclassified_Spirochaetota,Unclassified_Spirochaetota
OTU_18022,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Nitrococcales,Unclassified_Nitrococcales
OTU_18028,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Tepidisphaerales, WD2101 soil group
OTU_1809,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, BD2-7
OTU_18135,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Euzebyales, Euzebyaceae
OTU_18188,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Dethiobacteria, Dethiobacterales, Dethiobacteraceae
OTU_18200,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Rhodothermia, Balneolales, Balneolaceae
OTU_18203,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Staphylococcales, Gemellaceae
OTU_18211,root, Main genome, Bacteria, Bacteria (superkingdom), Sumerlaeota superphylum, Sumerlaeota,Unclassified_Sumerlaeota,Unclassified_Sumerlaeota,Unclassified_Sumerlaeota
OTU_18224,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Francisellales, Francisellaceae
OTU_18225,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Vicinamibacteria,Unclassified_Vicinamibacteria,Unclassified_Vicinamibacteria
OTU_18226,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteriae, Paludibaculum order incertae sedis, Paludibaculum family incertae sedis
OTU_18233,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Lentisphaeria, Oligosphaerales,Unclassified_Oligosphaerales
OTU_18249,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Vampirivibrionia, Obscuribacterales,Unclassified_Obscuribacterales
OTU_18259,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Cyanobacteriia, Phormidesmiales, Nodosilineaceae
OTU_1826,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfuromonadia, Desulfuromonadales, Geopsychrobacteraceae
OTU_18290,root, Main genome, Archaea, Archaea (superkingdom), TACK, Korarchaeota, Korarchaeia, Korarchaeales, Korarchaeaceae
OTU_18307,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Sporomusaceae
OTU_1831,root, Main genome, Bacteria, Bacteria (superkingdom), Deferribacteres Chrysogenetes group, Deferribacterota, Deferribacteres, Deferribacterales,Unclassified_Deferribacterales
OTU_18345,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Polyangia, PS-B29,Unclassified_PS-B29
OTU_18383,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospirota, Nitrospiria,Unclassified_Nitrospiria,Unclassified_Nitrospiria
OTU_18390,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Thermoactinomycetales,Unclassified_Thermoactinomycetales
OTU_18405,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Thermotaleaceae
OTU_18503,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteriae, GOUTB8,Unclassified_GOUTB8
OTU_18509,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Kiloniellales,Unclassified_Kiloniellales
OTU_18595,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Hadarchaeota,Unclassified_Hadarchaeota,Unclassified_Hadarchaeota,Unclassified_Hadarchaeota
OTU_18634,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Bacillales, Sporolactobacillaceae
OTU_18646,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Enterobacterales, Yersiniaceae
OTU_18651,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Chloroflexia,Unclassified_Chloroflexia,Unclassified_Chloroflexia
OTU_18698,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, EV818SWSAP88,Unclassified_EV818SWSAP88
OTU_18702,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Candidatus Ovatusbacter order incertae sedis, Candidatus Ovatusbacter family incertae sedis
OTU_18707,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Pelagibacterales, Clade IV
OTU_18743,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Fibrobacterota,Unclassified_Fibrobacterota,Unclassified_Fibrobacterota,Unclassified_Fibrobacterota
OTU_18748,root, Main genome, Bacteria, Bacteria (superkingdom), Fusobacteria superphylum, Fusobacteriota, Fusobacteriia, Fusobacteriales, Fusobacteriaceae
OTU_18750,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Lentisphaeria, Oligosphaerales, Lenti-02
OTU_18767,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Bacteroidia, ML602M-17,Unclassified_ML602M-17
OTU_18783,root, Main genome, Bacteria, Bacteria (superkingdom), Fusobacteria superphylum, Fusobacteriota,Unclassified_Fusobacteriota,Unclassified_Fusobacteriota,Unclassified_Fusobacteriota
OTU_18786,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Bacteroidota, Kryptonia, Kryptoniales, BSV26
OTU_1884,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales, Hydrogenophilaceae
OTU_18861,root, Main genome, Bacteria, Bacteria (superkingdom), Elusimicrobiota superphylum, Elusimicrobiota, Endomicrobia, Endomicrobiales,Unclassified_Endomicrobiales
OTU_18885,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Anaerolineae, Caldilineales,Unclassified_Caldilineales
OTU_18903,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Sneathiellales, Sneathiellaceae
OTU_1892,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Ferrovibrionales,Unclassified_Ferrovibrionales
OTU_1906,root, Main genome, Bacteria, Bacteria (superkingdom), Aquificota superphylum, Aquificota, Aquificae, Hydrogenothermales, Hydrogenothermaceae
OTU_19097,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Exiguobacterales, Exiguobacteraceae
OTU_19198,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Entomoplasmatales, Entomoplasmatales Incertae Sedis
OTU_19203,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Kazania,Unclassified_Kazania,Unclassified_Kazania,Unclassified_Kazania
OTU_19248,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Lactobacillales, Vagococcaceae
OTU_19264,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae
OTU_19269,root, Main genome, Bacteria, Bacteria (superkingdom), Thermotogota superphylum, Thermotogota, Thermotogae, Mesoaciditogales,Unclassified_Mesoaciditogales
OTU_19320,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Steroidobacterales,Unclassified_Steroidobacterales
OTU_19393,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Burkholderiales,Unclassified_Burkholderiales
OTU_19398,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, 028H05-P-BN-P5,Unclassified_028H05-P-BN-P5,Unclassified_028H05-P-BN-P5
OTU_19460,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Fermentibacterota,Unclassified_Fermentibacterota,Unclassified_Fermentibacterota,Unclassified_Fermentibacterota
OTU_19557,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospirae superphylum, Nitrospirota,Unclassified_Nitrospirota,Unclassified_Nitrospirota,Unclassified_Nitrospirota
OTU_19724,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Brocadiae, Brocadiales,Unclassified_Brocadiales
OTU_19735,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Candidatus Nomurabacteria,Unclassified_Candidatus Nomurabacteria,Unclassified_Candidatus Nomurabacteria
OTU_19820,root, Main genome, Bacteria, Bacteria (superkingdom), Nitrospinae Tectomicrobia group, Modulibacteria, Moduliflexia, Moduliflexales,Unclassified_Moduliflexales
OTU_19849,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Euryarchaeota, Thermococci,Unclassified_Thermococci,Unclassified_Thermococci
OTU_19871,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Parcubacteria, Candidatus Lloydbacteria,Unclassified_Candidatus Lloydbacteria,Unclassified_Candidatus Lloydbacteria
OTU_19881,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Hydrothermarchaeota, Hydrothermarchaeia, Hydrothermarchaeales,Unclassified_Hydrothermarchaeales
OTU_19924,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Anaerolineae, SBR1031, A4b
OTU_19936,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Campylobacterota, Campylobacteria, Campylobacterales, Sulfurospirillaceae
OTU_19956,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteriae, Acidobacteria group 12,Unclassified_Acidobacteria group 12
OTU_19986,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Actinobacteriota, Actinobacteria, Euzebyales,Unclassified_Euzebyales
OTU_20055,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Terasakiellaceae
OTU_20093,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Bacilli, Alicyclobacillales,Unclassified_Alicyclobacillales
OTU_20128,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, livecontrolB21
OTU_20145,root, Main genome, Archaea, Archaea (superkingdom), Euryarchaea sensu lato superphylum, Halobacterota, Archaeoglobi,Unclassified_Archaeoglobi,Unclassified_Archaeoglobi
OTU_2018,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Marinomonadaceae
OTU_20189,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Chlamydiae, Chlamydiales, Simkaniaceae
OTU_20201,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, HglApr721,Unclassified_HglApr721
OTU_20228,root, Main genome, Bacteria, Bacteria (superkingdom), FCB group, Fibrobacterota, Fibrobacteria, Fibrobacterales, Candidatus Raymondbacteria
OTU_20230,root, Main genome, Bacteria, Bacteria (superkingdom), Elusimicrobiota superphylum, Elusimicrobiota, Elusimicrobia, Elusimicrobiales,Unclassified_Elusimicrobiales
OTU_20245,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, MSBL9, GWC2-45-44
OTU_20309,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Candidatus Komeilibacteria,Unclassified_Candidatus Komeilibacteria,Unclassified_Candidatus Komeilibacteria,Unclassified_Candidatus Komeilibacteria
OTU_20324,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, SS1-B-04-55,Unclassified_SS1-B-04-55
OTU_20384,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Gracilibacteraceae order incertae sedis, Gracilibacteraceae
OTU_20397,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfuromonadia, Desulfuromonadales,Unclassified_Desulfuromonadales
OTU_20434,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, AT-s16,Unclassified_AT-s16
OTU_20461,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Caldicoprobacterales, Caldicoprobacteraceae
OTU_20470,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Immundisolibacterales, Immundisolibacteraceae
OTU_20475,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhizobiales, Amb-16S-1323
OTU_20490,root, Main genome, Bacteria, Bacteria (superkingdom), Acidobacteria superphylum, Acidobacteriota, Acidobacteriae, Acidobacteriales, Koribacteraceae
OTU_20527,root, Main genome, Bacteria, Bacteria (superkingdom), Spirochaetes superphylum, Spirochaetota, Leptospirae,Unclassified_Leptospirae,Unclassified_Leptospirae
OTU_20560,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Christensenellales, Christensenellaceae
OTU_20571,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Vampirivibrionia, Obscuribacterales, Obscuribacteraceae
OTU_20582,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Desulfotomaculia, Desulfotomaculales, Desulfotomaculaceae
OTU_20608,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Alphaproteobacteria Incertae Sedis,Unclassified_Alphaproteobacteria Incertae Sedis
OTU_20633,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Verrucomicrobiota, Verrucomicrobiae, Arctic97B-4 marine group,Unclassified_Arctic97B-4 marine group
OTU_20645,root, Main genome, Archaea, Archaea (superkingdom), TACK, Crenarchaeota, Thermoprotei, Desulfurococcales,Unclassified_Desulfurococcales
OTU_20776,root, Main genome, Bacteria, Bacteria (superkingdom), Spirochaetes superphylum, Spirochaetota, Brachyspirae, Brachyspirales, Brachyspirales Incertae Sedis
OTU_20791,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Polyangia, Polyangiales, Phaselicystidaceae
OTU_20806,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfarculia, Desulfarculales,Unclassified_Desulfarculales
OTU_20867,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Armatimonadota, Chthonomonadetes, Chthomonadales,Unclassified_Chthomonadales
OTU_20944,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Sporosalibacterium family incertae sedis
OTU_21138,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Polyangia, mle1-27,Unclassified_mle1-27
OTU_21209,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Desulfobacterota, Desulfobacteria, Desulfatiglandales,Unclassified_Desulfatiglandales
OTU_21369,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Myxococcia, Myxococcales, 27F-1492R
OTU_21482,root, Main genome, Bacteria, Bacteria (superkingdom), Hydrothermae superphylum, Hydrothermae,Unclassified_Hydrothermae,Unclassified_Hydrothermae,Unclassified_Hydrothermae
OTU_21574,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Cyanobacteria, Cyanobacteriia, Cyanobacteriales, Coleofasciculaceae
