Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS14_GC04_130,GS14_GC04_44,130,4,23990343.75,81265.4907226563,24071609.2407227,FALSE,4,No,AMOR
GS14_GC04_160,GS14_GC04_45,160,4,8403818.75,17297.0855712891,8421115.83557129,FALSE,4,No,AMOR
GS14_GC04_190,GS14_GC04_46,190,4,24448048.4375,54707.51953125,24502755.9570313,FALSE,4,No,AMOR
GS14_GC04_220,GS14_GC04_47,220,4,4304103.51563,4655.54809570313,4308759.0637207,FALSE,4,No,AMOR
GS14_GC04_230,GS14_GC04_48,230,4,41964056.25,19169.5037841797,41983225.7537842,FALSE,4,No,AMOR
GS14_GC08_10,GS14_GC08_49,10,5,189970100,9541679.6875,199511779.6875,FALSE,97,No,AMOR
GS14_GC08_20,GS14_GC08_50,20,5,53753300,5696857.03125,59450157.03125,FALSE,97,No,AMOR
GS14_GC08_30,GS14_GC08_51,30,5,247193.43261719,583028.3843494,830221.816966572,FALSE,97,No,AMOR
GS14_GC08_40,GS14_GC08_52,40,5,4106286.328125,233711.518437,4339997.84656203,FALSE,97,No,AMOR
GS14_GC08_50,GS14_GC08_53,50,5,54515562.5,508080.7617188,55023643.2617188,FALSE,97,No,AMOR
GS14_GC08_75,GS14_GC08_54,75,5,8583572.65625,215020.1171875,8798592.7734375,FALSE,97,No,AMOR
GS14_GC08_100,GS14_GC08_55,100,5,38663278.125,935628.125,39598906.25,FALSE,97,No,AMOR
GS14_GC08_130,GS14_GC08_56,130,5,28745578.125,265691.7236328,29011269.8486328,FALSE,97,No,AMOR
