"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","X.1"
"OTU_7592","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25","Unclassified_bacteriap25",""
"OTU_7593","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Ardenticatenales","Unclassified_Ardenticatenales","Unclassified_Ardenticatenales","Unclassified_Ardenticatenales",""
"OTU_7594","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," AT-s3-28","Unclassified_AT-s3-28","Unclassified_AT-s3-28","Unclassified_AT-s3-28","Unclassified_AT-s3-28",""
"OTU_7595","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7596","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales","Unclassified_Cytophagales","Unclassified_Cytophagales","Unclassified_Cytophagales",""
"OTU_7597","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales"," Omnitrophaceae","Unclassified_Omnitrophaceae","Unclassified_Omnitrophaceae",""
"OTU_7598","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," EV818SWSAP88","Unclassified_EV818SWSAP88","Unclassified_EV818SWSAP88","Unclassified_EV818SWSAP88",""
"OTU_7599","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae","Unclassified_Babeliae","Unclassified_Babeliae","Unclassified_Babeliae","Unclassified_Babeliae",""
"OTU_7600","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7601","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales",""
"OTU_7602","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria","Unclassified_Candidatus Yanofskybacteria",""
"OTU_7603","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Margulisbacteria superphylum"," Margulisbacteria","Unclassified_Margulisbacteria","Unclassified_Margulisbacteria","Unclassified_Margulisbacteria","Unclassified_Margulisbacteria","Unclassified_Margulisbacteria",""
"OTU_7604","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota",""
"OTU_7605","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade",""
"OTU_7606","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Thermoleophilia"," Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales","Unclassified_Gaiellales",""
"OTU_7607","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage","Unclassified_Pla3 lineage",""
"OTU_7608","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia",""
"OTU_7609","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Iainarchaeota"," Iainarchaeia"," Iainarchaeales","Unclassified_Iainarchaeales","Unclassified_Iainarchaeales","Unclassified_Iainarchaeales",""
"OTU_7610","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," GIF3","Unclassified_GIF3","Unclassified_GIF3","Unclassified_GIF3",""
"OTU_7611","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia",""
"OTU_7612","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Sumerlaeota superphylum"," Sumerlaeota"," Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia",""
"OTU_7613","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus","Unclassified_Bacillus",""
"OTU_7614","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Chlamydiae"," Chlamydiales"," cvE6","Unclassified_cvE6","Unclassified_cvE6",""
"OTU_7615","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," H3.93","Unclassified_H3.93","Unclassified_H3.93","Unclassified_H3.93",""
"OTU_7616","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Polyangiales","Unclassified_Polyangiales","Unclassified_Polyangiales","Unclassified_Polyangiales",""
"OTU_7617","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria",""
"OTU_7618","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," BD72BR169","Unclassified_BD72BR169","Unclassified_BD72BR169","Unclassified_BD72BR169",""
"OTU_7619","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Beijerinckiaceae"," Methylobacterium-Methylorubrum","Unclassified_Methylobacterium-Methylorubrum",""
"OTU_7620","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Frankiales"," Acidothermaceae"," Acidothermus","Unclassified_Acidothermus",""
"OTU_7621","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190",""
"OTU_7622","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7623","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodospirillales","Unclassified_Rhodospirillales","Unclassified_Rhodospirillales","Unclassified_Rhodospirillales",""
"OTU_7624","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",""
"OTU_7625","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7626","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria",""
"OTU_7627","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7628","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota","Unclassified_Planctomycetota",""
"OTU_7629","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales","Unclassified_Bacteroidales","Unclassified_Bacteroidales","Unclassified_Bacteroidales",""
"OTU_7630","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Kiritimatiellae"," WCHB1-41","Unclassified_WCHB1-41","Unclassified_WCHB1-41","Unclassified_WCHB1-41",""
"OTU_7631","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia","Unclassified_Dehalococcoidia",""
"OTU_7632","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Acidimicrobiia"," Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales",""
"OTU_7633","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Bacteroidales"," Bacteroidetes BD2-2","Unclassified_Bacteroidetes BD2-2","Unclassified_Bacteroidetes BD2-2",""
"OTU_7634","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospirota"," Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia",""
"OTU_7635","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Spirochaetes superphylum"," Spirochaetota"," Spirochaetia"," Spirochaetales"," Spirochaetaceae"," Spirochaeta","Unclassified_Spirochaeta",""
"OTU_7636","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Planctomycetes"," Pirellulales"," Pirellulaceae"," Blastopirellula","Unclassified_Blastopirellula",""
"OTU_7637","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7638","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota",""
"OTU_7639","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota"," Desulfobulbia"," Desulfobulbales"," Desulfobulbaceae"," Desulfobulbus","Unclassified_Desulfobulbus",""
"OTU_7640","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Hydrogenedentes superphylum"," Hydrogenedentes"," Hydrogenedentia"," Hydrogenedentiales","Unclassified_Hydrogenedentiales","Unclassified_Hydrogenedentiales","Unclassified_Hydrogenedentiales",""
"OTU_7641","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Candidatus Buchananbacteria","Unclassified_Candidatus Buchananbacteria","Unclassified_Candidatus Buchananbacteria","Unclassified_Candidatus Buchananbacteria","Unclassified_Candidatus Buchananbacteria","Unclassified_Candidatus Buchananbacteria",""
"OTU_7642","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurimonadaceae"," Sulfurimonas","Unclassified_Sulfurimonas",""
"OTU_7643","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Desulfobacterota"," Desulfobulbia"," Desulfobulbales","Unclassified_Desulfobulbales","Unclassified_Desulfobulbales","Unclassified_Desulfobulbales",""
"OTU_7644","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)",""
"OTU_7645","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," Anaerolineales"," Anaerolineaceae","Unclassified_Anaerolineaceae","Unclassified_Anaerolineaceae",""
"OTU_7646","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Acidobacteria superphylum"," Acidobacteriota"," Aminicenantia"," Aminicenantales","Unclassified_Aminicenantales","Unclassified_Aminicenantales","Unclassified_Aminicenantales",""
"OTU_7647","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," Dehalococcoidales"," Dehalococcoidaceae"," Dehalogenimonas","Unclassified_Dehalogenimonas",""
"OTU_7648","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota","Unclassified_Latescibacterota",""
"OTU_7649","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhodospirillales"," Magnetospiraceae","Unclassified_Magnetospiraceae","Unclassified_Magnetospiraceae",""
"OTU_7650","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Candidatus Berkiella order incertae sedis"," Candidatus Berkiella family incertae sedis","Unclassified_Candidatus Berkiella family incertae sedis","Unclassified_Candidatus Berkiella family incertae sedis",""
"OTU_7651","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," VHS-B3-70","Unclassified_VHS-B3-70","Unclassified_VHS-B3-70","Unclassified_VHS-B3-70",""
"OTU_7652","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," Nitrospinota"," Nitrospinia"," Nitrospinales","Unclassified_Nitrospinales","Unclassified_Nitrospinales","Unclassified_Nitrospinales",""
"OTU_7653","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7654","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Kiloniellales"," Kiloniellaceae","Unclassified_Kiloniellaceae","Unclassified_Kiloniellaceae",""
"OTU_7655","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Fibrobacterota"," Fibrobacteria"," Fibrobacterales"," Fibrobacteraceae","Unclassified_Fibrobacteraceae","Unclassified_Fibrobacteraceae",""
"OTU_7656","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Bdellovibrionota"," Bdellovibrionia"," Bacteriovoracales"," Bacteriovoracaceae","Unclassified_Bacteriovoracaceae","Unclassified_Bacteriovoracaceae",""
"OTU_7657","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Gemmatimonadota"," MD2902-B12","Unclassified_MD2902-B12","Unclassified_MD2902-B12","Unclassified_MD2902-B12","Unclassified_MD2902-B12",""
"OTU_7658","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Saccharospirillaceae"," Reinekea","Unclassified_Reinekea",""
"OTU_7659","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota",""
"OTU_7660","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Anaerolineae"," MSB-5B2","Unclassified_MSB-5B2","Unclassified_MSB-5B2","Unclassified_MSB-5B2",""
"OTU_7661","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Lentisphaeria"," Victivallales"," BD2-3","Unclassified_BD2-3","Unclassified_BD2-3",""
"OTU_7662","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Hydrogenedentes superphylum"," Hydrogenedentes"," Hydrogenedentia"," Hydrogenedentiales"," Hydrogenedensaceae","Unclassified_Hydrogenedensaceae","Unclassified_Hydrogenedensaceae",""
"OTU_7663","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia"," Clostridia vadinBB60 group","Unclassified_Clostridia vadinBB60 group","Unclassified_Clostridia vadinBB60 group","Unclassified_Clostridia vadinBB60 group",""
"OTU_7664","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," LCP-89","Unclassified_LCP-89","Unclassified_LCP-89","Unclassified_LCP-89","Unclassified_LCP-89","Unclassified_LCP-89",""
"OTU_7665","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Nitrospirae superphylum"," FCPU426","Unclassified_FCPU426","Unclassified_FCPU426","Unclassified_FCPU426","Unclassified_FCPU426","Unclassified_FCPU426",""
"OTU_7666","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Myxococcia"," Myxococcales","Unclassified_Myxococcales","Unclassified_Myxococcales","Unclassified_Myxococcales",""
"OTU_7667","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Chitinophagales","Unclassified_Chitinophagales","Unclassified_Chitinophagales","Unclassified_Chitinophagales",""
"OTU_7668","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales","Unclassified_Flavobacteriales","Unclassified_Flavobacteriales","Unclassified_Flavobacteriales",""
"OTU_7669","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Sumerlaeota superphylum"," Sumerlaeota"," Sumerlaeia"," Sumerlaeales"," Sumerlaeaceae","Unclassified_Sumerlaeaceae","Unclassified_Sumerlaeaceae",""
"OTU_7670","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7671","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Chloroflexi"," Dehalococcoidia"," SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade","Unclassified_SAR202 clade",""
"OTU_7672","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7673","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales","Unclassified_Omnitrophales",""
"OTU_7674","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7675","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia"," Peptostreptococcales-Tissierellales"," Caminicellaceae"," Paramaledivibacter","Unclassified_Paramaledivibacter",""
"OTU_7676","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Clostridia","Unclassified_Clostridia","Unclassified_Clostridia","Unclassified_Clostridia","Unclassified_Clostridia",""
"OTU_7677","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7678","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota",""
"OTU_7679","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2","Unclassified_WS2",""
"OTU_7680","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," BD7-11","Unclassified_BD7-11","Unclassified_BD7-11","Unclassified_BD7-11","Unclassified_BD7-11",""
"OTU_7681","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria","Unclassified_Gammaproteobacteria",""
"OTU_7682","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales","Unclassified_Babeliales","Unclassified_Babeliales","Unclassified_Babeliales",""
"OTU_7683","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Acidimicrobiia"," Microtrichales"," Microtrichaceae","Unclassified_Microtrichaceae","Unclassified_Microtrichaceae",""
"OTU_7684","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria"," Candidatus Portnoybacteria","Unclassified_Candidatus Portnoybacteria","Unclassified_Candidatus Portnoybacteria","Unclassified_Candidatus Portnoybacteria","Unclassified_Candidatus Portnoybacteria",""
"OTU_7685","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Acholeplasmatales","Unclassified_Acholeplasmatales","Unclassified_Acholeplasmatales","Unclassified_Acholeplasmatales",""
"OTU_7686","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified",""
"OTU_7687","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria",""
"OTU_7688","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia"," Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales","Unclassified_Woesearchaeales",""
"OTU_7689","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7690","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria","Unclassified_Parcubacteria",""
"OTU_7691","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae",""
"OTU_7692","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Sphingobacteriales"," KD1-131","Unclassified_KD1-131","Unclassified_KD1-131",""
"OTU_7693","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Verrucomicrobiota"," Omnitrophia"," Omnitrophales"," Omnitrophaceae","Unclassified_Omnitrophaceae","Unclassified_Omnitrophaceae",""
"OTU_7694","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Sphingorhabdus","Unclassified_Sphingorhabdus",""
"OTU_7695","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia","Unclassified_Bacteroidia",""
"OTU_7696","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Cellvibrionaceae","Unclassified_Cellvibrionaceae","Unclassified_Cellvibrionaceae",""
"OTU_7697","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Myxococcota"," Polyangia"," Polyangiales"," BIrii41","Unclassified_BIrii41","Unclassified_BIrii41",""
"OTU_7698","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," PVC group (Planctobacteria)"," Planctomycetota"," Phycisphaerae"," Phycisphaerales","Unclassified_Phycisphaerales","Unclassified_Phycisphaerales","Unclassified_Phycisphaerales",""
"OTU_7699","root"," Main genome"," Archaea"," Archaea (superkingdom)"," DPANN"," Nanoarchaeota"," Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia",""
"OTU_7700","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Cryomorphaceae","Unclassified_Cryomorphaceae","Unclassified_Cryomorphaceae",""
"OTU_7701","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Dependentiae superphylum"," Dependentiae"," Babeliae"," Babeliales"," UBA12411","Unclassified_UBA12411","Unclassified_UBA12411",""
"OTU_7702","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales","Unclassified_Enterobacterales",""
"OTU_7703","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Cytophagales"," Cyclobacteriaceae","Unclassified_Cyclobacteriaceae","Unclassified_Cyclobacteriaceae",""
