# Name,SeqName,Depth,Location,CruiseID,CoreID,Oxygen,Oxygen_interpolated,NO3,NO3_interpolated,NO2,NO2_interpolated,Ammonia,Ammonia_interpolated,Fe_interpolated,Mn_interpolated,Sulfate_interpolated
GS15_GC01_370,GS15_GC01_26,370,AMOR,GS15,GC01,nan,0,nan,0,nan,0,nan,0.0843183333333333,0.0132910600141955,0.11903363676375,28.6097708029704
GS15_GC01_390,GS15_GC01_27,390,AMOR,GS15,GC01,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS16_GC04_2,GS16_GC04_67,2,AMOR,GS16,GC04,nan,0.198,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS16_GC04_5,GS16_GC04_68,5,AMOR,GS16,GC04,0.171,0.171,nan,0.027372,nan,0,nan,0,0.000439221754,0,29.70315844264
GS16_GC04_10,GS16_GC04_69,10,AMOR,GS16,GC04,nan,0.145333333333333,nan,0.0281157142857143,nan,0,nan,0,0.000409826635714286,0,29.4804987953957
GS16_GC04_20,GS16_GC04_70,20,AMOR,GS16,GC04,0.094,0.094,nan,0.02837,nan,0,nan,0,0.000361582455,0,29.5817801374141
GS16_GC04_30,GS16_GC04_71,30,AMOR,GS16,GC04,nan,0.08,nan,0.027855,nan,0,nan,0,0.0003452111,0,29.584996876952
GS16_GC04_43,GS16_GC04_72,43,AMOR,GS16,GC04,nan,0.0618,nan,0.026496,nan,0,nan,0,0.0003591308,0,29.6281011867583
GS16_GC04_50,GS16_GC04_73,50,AMOR,GS16,GC04,0.052,0.052,nan,0.0253422222222222,nan,0,nan,0,0.000371888012222222,0,29.5411062530363
GS16_GC04_75,GS16_GC04_74,75,AMOR,GS16,GC04,0.0265,0.0265,0.02281,0.02281,0,0,0,0,0.00040543041,0,29.5989360816157
GS16_GC04_100,GS16_GC04_75,100,AMOR,GS16,GC04,0.0075,0.0075,nan,0.018405,nan,0,nan,0,0.000376696475,0,30.1013371850927
GS16_GC04_125,GS16_GC04_76,125,AMOR,GS16,GC04,0.0015,0.0015,nan,0.01375,nan,0,nan,0,0.000417167966666667,0.00712214490666667,29.3033177180929
GS16_GC04_145,GS16_GC04_77,145,AMOR,GS16,GC04,nan,0.0003,nan,0.00943666666666667,nan,0,nan,0,0.000346441053333333,0.0283222356333333,29.5206263446457
