Name,Core,CruiseID,CoreID,Depth,Oxygen,NO3,NOx,NH4,Mn,Fe
GS14_GC08_340,GS14_GC08,GS14,GC08,340,NA,NA,NA,NA,NA,NA
GS14_GC09_5,GS14_GC09,GS14,GC09,5,0.225,0.025,0.025,0,0.000025064543,0
GS14_GC09_10,GS14_GC09,GS14,GC09,10,NA,NA,NA,NA,NA,NA
GS14_GC09_11,GS14_GC09,GS14,GC09,11,0.185,NA,NA,NA,NA,NA
GS14_GC09_15,GS14_GC09,GS14,GC09,15,NA,0.02716,0.02716,0,0.0000177370279,0
GS14_GC09_20,GS14_GC09,GS14,GC09,20,0.137,NA,NA,NA,NA,NA
GS14_GC09_28,GS14_GC09,GS14,GC09,28,NA,NA,NA,NA,NA,NA
GS14_GC09_30,GS14_GC09,GS14,GC09,30,NA,NA,NA,NA,NA,NA
GS14_GC09_35,GS14_GC09,GS14,GC09,35,0.086,0.025,0.025,0,0,0
GS14_GC09_40,GS14_GC09,GS14,GC09,40,NA,NA,NA,NA,NA,NA
GS14_GC09_50,GS14_GC09,GS14,GC09,50,0.047,NA,NA,NA,NA,NA
GS14_GC09_55,GS14_GC09,GS14,GC09,55,NA,0.02162,0.02162,0,0.000016772706,0
GS14_GC09_68,GS14_GC09,GS14,GC09,68,NA,0.0197,0.0197,0,0.000017029422,0
GS14_GC09_75,GS14_GC09,GS14,GC09,75,NA,NA,NA,NA,NA,NA
GS14_GC09_80,GS14_GC09,GS14,GC09,80,0.0047,0.01713,0.01713,0,0.0000054095032,0
GS14_GC09_85,GS14_GC09,GS14,GC09,85,0.0012,NA,NA,NA,NA,NA
GS14_GC09_90,GS14_GC09,GS14,GC09,90,0,NA,NA,NA,NA,NA
GS14_GC09_95,GS14_GC09,GS14,GC09,95,0,0.01468,0.01468,0.00262,0.0120748623857,0
GS14_GC09_100,GS14_GC09,GS14,GC09,100,0,0.01041,0.01041,0.00208,0.0196066612117,0
GS14_GC09_121,GS14_GC09,GS14,GC09,121,0,0.00488,0.00488,0.00552,0.042850662062,0
GS14_GC09_130,GS14_GC09,GS14,GC09,130,0,NA,NA,NA,NA,NA
GS14_GC09_148,GS14_GC09,GS14,GC09,148,0,0,0,0.0189,0.089154016518,0
GS14_GC09_160,GS14_GC09,GS14,GC09,160,0,NA,NA,NA,NA,NA
GS14_GC09_163,GS14_GC09,GS14,GC09,163,0,0,0,0.02591,0.1089068175087,0
GS14_GC09_174,GS14_GC09,GS14,GC09,174,0,0,0,0.03099,0.1168287439232,0
GS14_GC09_190,GS14_GC09,GS14,GC09,190,0,NA,NA,NA,NA,NA
GS14_GC09_199,GS14_GC09,GS14,GC09,199,0,0,0,0.04063,0.133479264729,0
GS14_GC09_205,GS14_GC09,GS14,GC09,205,0,NA,NA,NA,NA,NA
GS14_GC12_3,GS14_GC12,GS14,GC12,3,0.117,NA,NA,NA,NA,NA
GS14_GC12_10,GS14_GC12,GS14,GC12,10,NA,0.02321,0.02321,0,0.0001829869635,0
GS14_GC12_20,GS14_GC12,GS14,GC12,20,NA,NA,NA,NA,NA,NA
GS14_GC12_22,GS14_GC12,GS14,GC12,22,0.017,NA,NA,NA,NA,NA
GS14_GC12_26,GS14_GC12,GS14,GC12,26,NA,0.00278,0.00278,0,0.0000523060518,0
GS14_GC12_30,GS14_GC12,GS14,GC12,30,NA,NA,NA,NA,NA,NA
GS14_GC12_36,GS14_GC12,GS14,GC12,36,NA,0,0,0.00383,0.0372317231861,0.0208544375358736
GS14_GC12_40,GS14_GC12,GS14,GC12,40,0.0002,NA,NA,NA,NA,NA
GS14_GC12_47,GS14_GC12,GS14,GC12,47,NA,0,0,0.01835,0.0726114787133,0.0394603596750294
GS14_GC12_50,GS14_GC12,GS14,GC12,50,NA,NA,NA,NA,NA,NA
GS14_GC12_60,GS14_GC12,GS14,GC12,60,0.0006,NA,NA,NA,NA,NA
GS14_GC12_73,GS14_GC12,GS14,GC12,73,NA,0,0,0.01871,0.1725213054125,0.0161539029171775
GS14_GC12_75,GS14_GC12,GS14,GC12,75,NA,NA,NA,NA,NA,NA
GS14_GC12_83,GS14_GC12,GS14,GC12,83,0.0002,NA,NA,NA,NA,NA
GS14_GC12_97,GS14_GC12,GS14,GC12,97,NA,0,0,0.02576,0.1914290281461,0.0416299042639821
GS14_GC12_100,GS14_GC12,GS14,GC12,100,0.0002,NA,NA,NA,NA,NA
GS14_GC12_122,GS14_GC12,GS14,GC12,122,0.0001,NA,NA,NA,NA,NA
GS14_GC12_127,GS14_GC12,GS14,GC12,127,NA,0,0,0.02972,0.2205914878634,0.0234455359779558
